"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"INcommasc_sg2r 2009603",2009602,242755,163216,156541,19,23,23,2161,80,83
"INcommasc_sg2r 2010860",2010859,224524,133526,128317,14,31,31,1742,71,72
"INcommasc_sg2r 247790",247790,410227,197913,187623,7,9,9,2849,61,63
"INcommasc_sg2r2",945180,360742,202138,192047,16,3,3,2382,75,80
"INcommasc_sg3l 1281433",1281433,89055,71753,69599,0,6,6,911,23,24
"INcommasc_sg3l 1293982",1362300,410054,221561,192925,11,8,8,3388,19,22
"INcommasc_sg3l 1383700",1383699,145629,115806,112802,16,10,10,1692,41,43
"INcommasc_sg3l 1393788",1393787,160251,129869,126937,16,17,17,1632,61,63
"INcommasc_sg3l 1396791",1396790,82464,65548,63839,6,0,0,996,20,22
"INcommasc_sg3l 1401123",1401122,162367,125116,122319,9,11,11,1605,52,53
"INcommasc_sg3l 1420086",1420085,166517,122967,119873,8,7,7,1647,54,58
"INcommasc_sg3l 1422885",1422884,116212,85354,82931,6,17,17,1409,16,18
"INcommasc_sg3l 1732322",1732322,82295,67600,65927,4,2,2,1126,12,13
"INcommasc_sg3l1 1732257",1732257,96569,78800,77576,10,19,19,1119,22,23
"INcommasc_sg3r 1172583",1172582,244700,165166,159909,1,2,2,2436,40,42
"INcommasc_sg3r 1323883",1323882,112789,93308,91718,15,4,4,1475,16,17
"INcommasc_sg3r 1390850",1390849,92775,77674,75152,8,7,7,728,24,26
"INcommasc_sg3r 1395094",1395094,151175,100389,96955,11,1,1,1646,20,23
"INcommasc_sg3r 1397286",1397285,149989,121648,118041,9,13,13,1416,64,70
"INcommasc_sg3r 1397327",1397326,161470,129451,125246,18,25,25,1563,69,73
"INcommasc_sg3r 1397640",1397639,128182,100966,98460,9,7,7,1331,49,50
"INcommasc_sg3r 1410777",1410776,79424,63826,62532,4,4,4,895,22,24
"INcommasc_sg3r 1417277",1417276,182111,139067,136666,7,6,6,1937,43,45
"INcommasc_sg3r 1450610",1450610,115109,85822,82318,9,2,2,1144,37,38
"INcommascATO_sg2l",1295953,264742,143007,133023,7,1,1,1731,37,41
"INcommascATO_sg2r2",2007954,275643,178905,172982,7,6,6,2002,77,82
"INcommascATO_sg3l1",1484007,417547,213754,185462,25,10,10,2914,39,40
"INcommascATO_sg3l2",1298484,262272,147353,141494,5,2,2,2586,49,51
"INcommascEnk_sg3l 1017681",1939662,287136,159484,154842,7,5,5,2690,52,54
"INcommascFV_sg2l1",1860656,480158,270065,238802,25,10,10,3460,78,84
"INcommascL_FMRFa_sg2r",55225,395385,187501,176492,13,13,13,2754,55,56
"INcommATO_sg1r",1313602,145567,84661,71036,2,2,2,777,16,17
"INcommdesc_sg1l 1018326",1018325,221970,114493,110441,3,18,18,1421,30,33
"INcommdesc_sg1l 1292353",1292352,340528,171344,165381,11,13,13,2099,77,84
"INcommdesc_sg1l 1449055",2007389,257114,153845,145034,10,11,11,2156,45,47
"INcommdesc_sg1l 1582276",1582275,122830,62023,57904,5,6,6,864,6,8
"INcommdesc_sg1l 1675902",1675901,258798,181577,167047,6,5,5,2400,50,53
"INcommdesc_sg1l 1725003",1725002,179518,93573,88686,7,8,8,1218,35,40
"INcommdesc_sg1l 1846188",1846187,171542,92280,84135,6,9,9,787,26,28
"INcommdesc_sg1l1 1308022",1308022,214605,113171,108789,14,10,10,1360,44,47
"INcommdesc_sg1l2 1488796",1488795,190897,90081,86917,1,9,9,1384,27,29
"INcommdesc_sg1r 1306860",1306859,451019,218240,207888,13,14,14,3085,81,87
"INcommdesc_sg1r 1380151",1380150,242964,146498,140747,5,6,6,2351,42,44
"INcommdesc_sg1r 1407164",1407163,198074,108104,103195,5,19,19,1558,38,39
"INcommdesc_sg1r 1600837",1600836,136090,56083,49504,3,4,4,890,12,13
"INcommdesc_sg2l 1356178",1356178,109761,76859,74448,4,19,18,1258,16,17
"INcommdesc_sg2l 1486137",1486136,172406,128273,124047,12,15,15,1613,60,63
"INcommdesc_sg2l 1592896",1592896,127966,74032,67093,5,8,8,971,15,16
"INcommdesc_sg2l 1937282",1937281,183654,133526,129813,5,16,16,2123,38,41
"INcommdesc_sg2r 1295232",1295231,242056,133370,126048,7,8,8,1646,58,61
"INcommdesc_sg2r 1427618",1427617,222590,157393,152204,27,7,7,2572,46,49
"INcommdesc_sg2r 1731719",1731718,124534,94025,91727,9,17,17,1283,37,38
"INcommdesc_sg2r2",1825348,95708,66855,60395,5,3,3,1028,10,11
"INcommdesc_sg3r 1386951",1386950,112122,89051,82536,5,5,5,1090,25,26
"INcommdesc_sg3r 1411127",1411126,88682,75193,72937,4,3,3,847,29,31
"INcommdesc_sg3r 1416650",1416649,76002,59585,57444,2,1,1,808,22,23
"INcommdesc_sg3r 1421504",1421503,100254,81772,79395,3,7,7,1207,18,19
"INcommdesc_sg3r 1730844",1730843,89808,73069,70063,4,13,13,1039,30,31
"INcommdescATO_sg1r",1480211,269246,114026,106559,8,5,5,1534,33,35
"INcommdescFVa_sg2l",1312363,158439,108378,105248,19,21,21,1559,42,45
"INcommdescFVa_sg2r",1339023,264841,188617,182295,13,42,42,2998,78,83
"INcommFMRFa_sg1l",120363,114461,52140,48899,1,6,6,731,14,15
"INcosplit 1403449",1403448,184573,120091,116081,1,2,2,1808,43,46
"INcosplit_sg1r 1376460",1376459,241384,139894,133589,17,30,30,1817,54,56
"INcosplit_sg2l 1306608",1306608,334863,203922,199293,28,39,38,2986,79,83
"INcosplit_sg2l 1338884",1338884,182555,98682,95051,5,27,27,1305,32,34
"INcosplit_sg2l 1382872",1382871,86406,67385,65376,5,2,2,850,29,30
"INcosplit_sg2l 1436507",1436506,154782,119468,115769,13,9,9,1561,56,58
"INcosplit_sg2l 1472929",1472928,132114,92608,90391,12,10,10,1423,33,34
"INcosplit_sg2l 1479581",1479580,258553,187045,181797,5,6,6,2664,73,79
"INcosplit_sg2l 1957231",1957230,166737,118555,115900,6,2,2,1589,35,36
"INcosplit_sg2l2",1329930,136124,101676,98690,6,8,8,1454,25,27
"INcosplit_sg2r 1314140",1314140,262634,160567,153920,19,23,23,2332,52,54
"INcosplit_sg2r 1379512",1379511,72465,54497,52500,3,9,9,775,14,17
"INcosplit_sg2r 1405840",1405840,140438,104408,102331,10,27,27,1353,38,40
"INcosplit_sg2r 1436494",1436493,86556,70046,68694,3,3,3,729,25,26
"INcosplit_sg2r 1971465",1971464,192049,138632,135083,12,22,22,1662,65,67
"INcosplit_sg2r 2010916",2010915,228727,152812,147701,8,20,20,2285,55,56
"INcosplit_sg2r1 1626390",1626390,148950,107219,104353,11,6,6,1554,31,32
"INcosplit_sg2r1 1731014",1731014,504421,270035,260429,48,77,76,4139,91,95
"INcosplit_sg3l",1382859,130642,100958,98539,6,15,15,1453,28,31
"INcosplit_sg3r",1400126,161719,128501,123644,16,16,15,1927,50,54
"INcosplit_sg3r 1696563",1696562,106876,84764,82126,3,0,0,1385,25,26
"INcosplit_sgr1",1600828,156192,64336,61017,12,9,9,785,27,30
"INcosplitATO_sg1l2",1493426,252006,144334,138188,4,15,15,1772,50,52
"INcross_l1; INvc_l1",776455,195329,152246,146190,5,2,2,1066,65,76
"INcross_l2",1317942,141449,116547,114398,1,6,6,970,49,53
"INcross_l3",1333887,117315,105138,103804,6,4,4,656,48,53
"INcross_l4",1302082,81621,68883,67127,4,3,3,578,28,29
"INcross_r1",1425033,231575,189453,180412,3,9,9,1552,75,82
"INcross_r2",1329970,136474,119529,116698,3,2,2,795,31,36
"INcross_r3",1282582,111068,98590,97014,2,1,1,634,24,26
"INcross_r4",1321672,122874,98074,96365,3,1,1,933,46,53
"INCrossbow__l",117385,499860,319274,296083,50,24,24,3146,114,123
"INCrossbow_r",119436,731809,514359,479468,51,18,18,4516,160,165
"INdc_l1",73954,226887,148531,142897,9,6,6,1180,62,70
"INdc_l2",409861,238013,167184,153819,7,26,26,1216,58,71
"INdc_r1",414949,148117,126429,124189,7,5,5,1026,62,67
"INdc_r2",1473074,178971,128465,123049,4,1,1,1105,47,51
"INdc_r3",671957,108329,90297,88601,5,2,2,833,30,35
"INdecus-desc_l 1328478sg1",1328477,102552,65632,61602,3,0,0,740,18,24
"INdecus-short_r 1385498_sg3",1385497,88260,72177,70884,5,3,3,1015,21,23
"INdecuss_l 1307746",1307745,301076,178819,152506,9,0,0,1572,32,37
"INdecuss_l 1318237",1318236,134296,95776,91438,4,2,2,962,14,16
"INdecuss_l 1318496",1318495,190331,161350,158119,4,11,11,1300,87,95
"INdecuss_l 1321532",1321532,310759,211059,167011,5,6,6,2002,39,42
"INdecuss_l 1354049",1482547,477008,254199,224979,11,12,12,2797,52,56
"INdecuss_l 1560655",1560655,334219,211635,200860,5,5,5,1968,88,92
"INdecuss_l 1635280",1635279,167519,122192,119490,3,1,1,1090,45,50
"INdecuss_l 1855915",1855915,459367,254590,234245,13,18,18,3275,61,63
"INdecuss_l 1855933",1855933,348049,200471,183717,24,14,14,2300,51,52
"INdecuss_l 1856972",1856971,361945,227436,210504,11,26,26,2497,46,51
"INdecuss_l 241833",1842067,378511,224757,213307,11,4,4,2277,71,81
"INdecuss_l 54909",54909,295684,152512,138561,9,2,2,1387,47,49
"INdecuss_l 780916",780915,395750,264631,248170,6,31,31,2619,63,64
"INdecuss_r 1013576",1433418,518712,273629,255622,23,54,54,3557,68,73
"INdecuss_r 111232",111231,158161,117632,114037,3,1,1,1192,42,47
"INdecuss_r 1272025",1789261,348994,188016,157947,5,5,5,1879,37,38
"INdecuss_r 1321500",1645026,392767,230588,215090,11,17,17,2397,68,75
"INdecuss_r 1363308",556718,516085,295540,270528,10,21,21,3528,106,114
"INdecuss_r 1371848",1371847,151076,121909,118333,8,7,7,1041,60,66
"INdecuss_r 1449340",1449339,185846,126123,118354,8,7,7,1340,37,39
"INdecuss_r 1701850",1701849,398284,233158,203660,8,16,16,2646,55,56
"INdecuss_r 1796980",2001055,543847,308449,274918,8,13,13,4036,71,76
"INdecuss_r 1928680",1928680,204913,140146,125177,2,1,1,1210,38,42
"INdecuss_r 1928755",1928754,389012,236271,219990,13,10,10,3132,73,75
"INdecuss_r 2017536",2017535,208305,152168,147279,7,8,8,1417,53,55
"INdecussfoot_l",1338468,320993,214997,174650,26,5,5,1789,64,69
"INdecussfoot_r",1345461,419214,269706,258062,53,43,43,2946,101,104
"INdecusshook_l",1339608,458182,266080,251688,49,25,25,3556,64,67
"INdecusshook_r",1343467,509290,305033,279471,37,18,18,3842,93,96
"INdecussn2_l 1264499",1264498,526565,322833,292704,22,18,18,3869,96,107
"INdecussPDF_r 111949",111948,434638,222876,200516,14,14,14,2593,57,59
"INdecussPre_l",1704860,621576,345622,318177,18,15,15,3532,115,130
"INdecussPre_r",1654629,443373,242851,227015,40,10,10,2515,71,73
"INdesc_l 106879",106879,256922,133550,112765,5,1,1,1448,37,38
"INdesc_l 1259647",1797187,301404,188485,168945,14,18,18,2146,43,46
"INdesc_l 1291724",361741,466123,219717,196390,26,24,24,2426,43,45
"INdesc_l 1320922",1320921,647763,344854,295481,19,21,21,4427,81,84
"INdesc_l 1498371",1498370,271435,144987,136478,9,8,8,2159,23,24
"INdesc_l 252984",252984,413371,203302,183239,11,13,13,2394,39,41
"INdesc_l 296187",296186,258249,149823,132935,10,18,18,1427,25,28
"INdesc_r 1342039",1356971,328159,200991,184420,10,20,20,2148,47,49
"INdesc_r 1398574",1398573,250152,157208,147960,1,5,5,1305,37,39
"INdesc_r 1731420",1731420,325805,186105,172364,11,9,9,2151,47,49
"INdesc_r 1975752",1975751,452309,248029,224721,20,14,14,2967,56,61
"INdesc_r 1998558",1998558,253990,129251,122213,8,12,12,1944,35,39
"INdesc_r 335229",335229,381846,223177,200979,13,12,12,2149,70,73
"INdesc_r 393182",393182,214278,140913,128028,7,0,0,1411,15,16
"INdesc_r 897644",897643,415529,260008,245598,52,36,36,2897,76,78
"INdesc_sg2r 1491578",1491577,200566,131779,128371,14,2,2,1937,48,49
"INdescFMRF_l",1932988,602494,284664,258128,13,27,27,3671,77,82
"INdescFMRF_r",1957288,617263,319377,283041,16,17,16,3509,94,97
"INdescLuqinPDF_l",1797181,673249,383080,365022,38,100,100,5097,155,158
"INdescLuqinPDF_r",1293005,681913,422503,398916,50,65,65,5145,170,177
"INdescRFa_r",2019137,321409,182751,173618,9,12,12,2132,40,42
"INdescRGWa_r",1302266,441590,225212,203118,19,22,22,3134,52,54
"INdinofl_vnc_r5 653848",653848,356667,266418,258431,21,8,8,3511,60,62
"INDLSO_l",1271721,135394,105326,102228,9,8,8,961,59,61
"INDLSO_r",1311897,230764,193625,189666,9,26,26,1768,89,96
"INfoot_l1",1298898,152695,114205,111079,14,27,26,1234,58,61
"INfoot_l2",1276040,136980,105763,102382,1,13,13,927,52,59
"INfoot_r1",1064990,151289,125583,122649,18,36,35,1261,60,65
"INfoot_r2",1371619,123092,99551,97053,4,22,22,818,42,46
"INFVa_pygl1",1678918,507489,285706,276176,35,49,48,4334,115,118
"INFVa_pygr1",369396,415796,243774,236454,35,54,54,3826,83,84
"INh_l",1377274,131573,95401,89466,1,7,7,854,30,33
"INhead 1303656",1303655,138050,110031,106182,5,7,7,875,34,39
"INhead 1318966",1318965,114428,92625,90270,2,7,7,841,31,35
"INhead 1360558",1360557,159466,125772,110360,1,7,7,1089,20,21
"INhead 1426733",1426732,155464,119102,114851,1,3,3,1189,17,18
"INhead_l",1282477,125392,94266,87049,1,2,2,695,23,26
"INhead_l 1157465",1157465,148295,92367,87697,4,16,16,848,15,16
"INhead_l 1272535",1272534,208176,170788,167660,14,5,5,1413,93,105
"INhead_l 1273540",1273539,51315,42995,41573,1,3,3,581,8,9
"INhead_l 1273555",1273554,146479,124082,122555,7,3,3,1186,52,56
"INhead_l 1273564",1273563,112314,89082,86680,17,7,7,1079,46,48
"INhead_l 1275917",1275916,123227,103375,98374,2,8,8,725,24,28
"INhead_l 1276148",1276147,106278,74207,62613,8,13,13,591,19,22
"INhead_l 1299668",1299667,61745,46893,38040,1,1,1,547,14,15
"INhead_l 1300036",1300035,123786,91705,88523,12,4,4,672,33,35
"INhead_l 1303297",1303297,99866,65337,63304,2,5,5,526,18,20
"INhead_l 1303844",1732439,211342,156010,151845,9,16,16,1358,64,67
"INhead_l 1316532",1316531,130504,89324,84263,19,5,5,678,24,26
"INhead_l 1317376",1317375,63153,46780,45091,5,2,2,659,19,20
"INhead_l 1318603",1318602,235954,153115,134666,3,7,7,1477,36,37
"INhead_l 1321570",1281988,110935,86167,82917,3,10,10,779,21,23
"INhead_l 1335646",1335645,192065,141907,119667,3,16,16,944,47,54
"INhead_l 1337355",1337354,63945,50598,49109,2,6,6,626,9,11
"INhead_l 1349858",1349857,76446,63275,61740,3,1,1,644,17,18
"INhead_l 1354682",1354681,159267,117865,111830,6,8,8,1034,35,38
"INhead_l 1454847",1454846,96914,74409,70082,7,2,2,806,31,32
"INhead_l 1471451",1471450,144729,112882,109921,4,7,7,1083,39,40
"INhead_l 1627480",1627479,100626,49901,45917,5,1,1,554,8,9
"INhead_l 1957213",1957212,88595,47589,38795,3,1,1,536,4,5
"INhead_l 223221",223220,136781,101729,98147,2,1,1,796,37,40
"INhead_l 493318-T",493317,191501,134570,126423,13,7,7,998,45,51
"INhead_l 537119",537119,221241,161328,154528,9,1,1,1457,68,73
"INhead_l 649900",649899,179775,127636,122027,18,6,6,1327,57,58
"INhead_l 770520",770519,74006,57183,55587,3,0,0,485,31,32
"INhead_r  331495",331495,209664,141551,129624,5,0,0,1131,31,34
"INhead_r 1280538",1280537,122421,94998,87087,7,6,6,1030,24,25
"INhead_r 1285307",1285306,123052,100347,98014,5,12,12,1048,50,53
"INhead_r 1304980",1304979,97624,77885,75176,5,2,2,916,25,27
"INhead_r 1311698",1311697,253381,186500,178914,8,21,21,1179,47,51
"INhead_r 1330968",1744577,328651,243109,230940,16,5,5,1984,72,77
"INhead_r 1332248",1332248,110244,91147,89254,4,7,7,651,32,35
"INhead_r 1332390",1332389,153890,124365,119231,8,6,6,1112,50,58
"INhead_r 1334544",1334543,157896,126623,117986,1,5,5,900,38,44
"INhead_r 1340648",1340647,160115,129485,124738,6,17,17,1073,40,43
"INhead_r 1345238",1345237,96608,78395,76706,5,10,10,623,30,32
"INhead_r 1346363",1346362,94190,83384,81435,8,0,0,606,19,20
"INhead_r 1354526",1354525,173744,138595,135351,3,10,10,1022,44,50
"INhead_r 1354777",1354776,107268,92212,89776,5,7,7,871,37,42
"INhead_r 1359695",1359694,58060,52685,51949,6,1,1,469,20,21
"INhead_r 1359972",1359971,180591,149993,147000,1,1,1,1164,68,78
"INhead_r 1430234",1430233,154834,113917,109849,0,6,6,1107,40,41
"INhead_r 1474794",1474793,86683,69106,65292,6,1,1,632,21,24
"INhead_r 149323",1016678,128674,87170,77051,2,2,2,673,8,9
"INhead_r 1578085",1578084,351165,196963,174470,10,5,5,1714,50,56
"INhead_r 1929588",1929587,150991,91641,69637,10,0,0,650,13,15
"INhead_r 2007061",2007060,151477,104058,99159,12,0,0,1208,37,39
"INhead_r 786571",786570,211465,175590,171094,5,4,4,1064,56,64
"INhead_r; INintr3",392410,184691,155982,153614,5,3,3,847,52,62
"INhead_r; INintr6",54919,260064,193079,185841,7,1,1,1703,52,55
"INheadPDF_l 1261996",1261995,168060,125688,122811,9,3,3,1087,42,47
"INheadr 1987742",1987741,189654,119899,111399,1,1,1,939,23,25
"INhook_l",1314425,165356,133059,129420,10,21,21,1075,58,62
"INhook_r",1284610,174013,140689,137789,15,22,22,1028,48,55
"INhorn_l",1356253,260774,157651,147185,23,19,19,1565,45,48
"INimmature_r 1409347",1409346,149823,113591,104696,4,4,4,1010,22,25
"INintl1",387680,200174,123983,115819,16,11,11,1005,53,57
"INintl3",1406825,185623,118948,110024,5,2,2,1061,35,40
"INintl4",55238,215394,131589,123320,5,2,2,1269,49,60
"INintl5",73059,177549,110507,103982,11,5,5,1108,38,40
"INintr1",328632,236183,176761,166462,18,2,2,1208,63,76
"INintr4",40141,227800,175943,171071,11,9,9,1148,75,89
"INintr5",48718,201611,142730,135096,7,2,2,1297,49,54
"INipsi-bifushort_r 1567362",1567361,152967,74130,66493,9,0,0,905,21,22
"INipsi-short_l 1384594",1384593,42904,33191,32325,3,2,2,549,7,10
"INipsiasc-short_sg3r 1178654",1178653,69464,51757,50670,7,1,1,722,21,23
"INipsiasc_dorsalcellbo_r_1353434sg1",1353433,109768,65441,63317,2,4,4,938,17,19
"INipsiasc_Latcb_r 1355224",1355223,210669,107870,103873,3,12,12,1491,32,33
"INipsiasc_pygl 1385969",1385968,44977,34347,33163,5,1,1,768,3,4
"INipsiasc_pygr 1366161",1366160,222513,155282,147802,9,2,2,2301,47,50
"INipsiasc_sg0l 1272871",1272870,157369,118440,112362,1,1,1,793,49,55
"INipsiasc_sg0r 1370694",1370693,95952,74781,72949,2,6,6,649,25,28
"INipsiasc_sg0r 1742613",1742612,307791,201522,162166,6,17,17,1463,36,41
"INipsiasc_sg0r 1855340",1855339,133583,96869,89137,14,0,0,627,24,28
"INipsiasc_sg1l 1082471",1082470,138859,90573,85548,1,3,3,1116,27,31
"INipsiasc_sg1l 110893",110892,343123,193719,185540,15,27,27,2261,48,49
"INipsiasc_sg1l 1308878",1308877,268460,146048,129188,6,3,3,1568,20,22
"INipsiasc_sg1l 1345867",1345866,294722,184116,171113,10,15,15,1961,50,57
"INipsiasc_sg1l 1827287",1827286,271609,137611,126462,10,8,8,1784,32,33
"INipsiasc_sg1l 1950394",1950393,261705,166086,151947,13,12,12,1922,43,44
"INipsiasc_sg1l 2001305",1827444,263069,172901,153704,7,7,7,1679,26,28
"INipsiasc_sg1r",1340398,230429,142946,127086,4,7,7,1546,29,31
"INipsiasc_sg1r 1280330",1280329,357497,218069,199233,23,15,15,2218,54,57
"INipsiasc_sg1r 1357013",1794992,254308,120960,98161,5,0,0,1269,19,20
"INipsiasc_sg1r 1438735",1438734,253880,124765,90245,1,2,2,1348,11,12
"INipsiasc_sg1r 1452160",1452159,217582,110696,97564,3,1,1,1335,19,20
"INipsiasc_sg1r 1458093",1458092,169273,93177,86746,2,0,0,1072,18,19
"INipsiasc_sg1r 1650726",1650725,164720,81076,76691,1,8,8,936,29,31
"INipsiasc_sg1r 1797851",1797850,261942,141129,105393,2,3,3,1320,14,16
"INipsiasc_sg1r 259764",259763,225027,113718,104271,0,6,6,1506,21,23
"INipsiasc_sg2l 1279738",1546007,391022,202391,173573,12,6,6,2836,50,55
"INipsiasc_sg2l 1354210",1354209,267283,137531,132850,10,22,22,2046,51,53
"INipsiasc_sg2l 1395840",1395840,158919,71489,68160,8,11,11,1152,16,17
"INipsiasc_sg2l 1417624",1987526,181496,85560,83249,4,5,5,759,29,31
"INipsiasc_sg2l 1419967",2015926,467100,241210,203925,22,2,2,2845,53,57
"INipsiasc_sg2l 1441051",1441050,222826,107207,101415,5,7,7,1549,36,39
"INipsiasc_sg2l 1456639",1456639,178937,92395,87942,15,16,16,1259,35,36
"INipsiasc_sg2l 1462226",1462225,119369,65896,63899,6,2,2,944,16,17
"INipsiasc_sg2l 1462291",1462290,110732,68568,64369,6,0,0,1086,32,34
"INipsiasc_sg2l 1520676",1520675,188265,107893,101978,3,29,29,1614,47,50
"INipsiasc_sg2l 1686417",2015432,237010,105054,93575,3,0,0,1398,19,21
"INipsiasc_sg2l 1957860",1957859,207656,105835,100377,3,3,3,1670,35,38
"INipsiasc_sg2l 1959422",1959421,266384,136243,128570,8,5,5,1628,36,37
"INipsiasc_sg2l 2001381",2001380,256431,131393,103564,10,5,5,1588,23,24
"INipsiasc_sg2l 505209",505209,223514,120983,113371,9,2,2,2259,19,21
"INipsiasc_sg2l 764616",764615,311947,165582,159762,19,30,30,2469,65,67
"INipsiasc_sg2r 1313054",1313053,391857,150062,128922,3,0,0,1969,38,39
"INipsiasc_sg2r 1441374",1441373,87902,65909,64981,2,3,3,907,16,17
"INipsiasc_sg2r 1441615",1441614,126232,77544,75548,8,2,2,1031,16,17
"INipsiasc_sg2r 1446192",1446191,92685,53099,51852,8,0,0,853,11,12
"INipsiasc_sg2r 1447993",1447992,96679,72984,69121,3,3,3,1102,29,32
"INipsiasc_sg2r 1448859",1448858,166837,108991,105829,6,0,0,1711,39,45
"INipsiasc_sg2r 1454390",1450796,178126,95645,91723,7,9,9,1474,39,41
"INipsiasc_sg2r 1454629",1454628,220093,113094,108713,9,0,0,1647,40,43
"INipsiasc_sg2r 1460632",1460631,96190,58797,56670,6,2,2,776,24,25
"INipsiasc_sg2r 1483033",1483032,114391,91689,89785,6,9,9,1206,47,48
"INipsiasc_sg2r 1839509",1839508,131117,90036,84549,1,7,7,1004,29,32
"INipsiasc_sg2r 1841159",1841158,105281,72300,70115,0,16,16,904,15,16
"INipsiasc_sg2r 1850682",1850681,436478,202705,182373,11,2,2,2511,39,43
"INipsiasc_sg2r 2000807",2000806,90681,64721,63221,5,0,0,888,21,22
"INipsiasc_sg3l 1274440",1274440,271308,137352,132623,6,7,7,2556,37,39
"INipsiasc_sg3l 1274482",1683821,297018,161243,154952,21,16,16,2654,62,64
"INipsiasc_sg3l 1275244",1275243,192150,152531,149100,5,9,9,2251,36,39
"INipsiasc_sg3l 1389372",1389371,127928,102086,99216,9,1,1,1565,36,40
"INipsiasc_sg3l 1396755",1396754,119505,92312,90647,2,4,4,1329,29,30
"INipsiasc_sg3l 1409562",1409561,297944,177550,171097,16,33,33,2711,59,60
"INipsiasc_sg3l 1414340",1414339,84877,69311,68067,2,1,1,1164,15,17
"INipsiasc_sg3l 1521492",1521491,148195,68724,66676,18,0,0,1356,19,20
"INipsiasc_sg3l 1699768",1699767,84767,66297,63314,10,4,4,752,32,34
"INipsiasc_sg3l 2000956",2000955,164656,97613,94343,4,11,11,1548,25,26
"INipsiasc_sg3l 565080",565079,188497,94772,91080,6,0,0,1620,13,14
"INipsiasc_sg3l1 1386659",1386659,106578,83863,81830,7,1,1,1180,30,34
"INipsiasc_sg3r 1172205",1845855,415029,253946,217007,27,6,6,3419,51,54
"INipsiasc_sg3r 1172370",1380543,612559,375079,355742,44,30,30,4960,108,113
"INipsiasc_sg3r 1278419",1278418,75367,56924,55547,4,0,0,981,10,11
"INipsiasc_sg3r 1372364",1372363,108927,91298,89431,6,3,3,1449,32,33
"INipsiasc_sg3r 1378972",1407854,162936,104113,99125,6,4,4,1734,28,30
"INipsiasc_sg3r 1381576",1381575,115450,91596,88215,19,3,3,1295,35,40
"INipsiasc_sg3r 1388789",1388788,58272,50439,49294,5,3,3,701,17,19
"INipsiasc_sg3r 1400536",1400535,152570,116746,114147,13,9,9,1572,37,40
"INipsiasc_sg3r 1404986",1404985,77784,60188,58490,4,0,0,884,23,25
